date,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum
3/21/2020,225,1072,0,8,8885,100284,225,1072,12,51,0,0,0,0,0,0,0,0
3/22/2020,280,1352,0,8,9002,109286,280,1352,19,70,0,0,0,0,0,0,0,0
3/23/2020,328,1680,0,8,6357,115643,328,1680,27,97,0,0,0,0,0,0,0,0
3/24/2020,370,2050,1,9,7557,123200,370,2050,16,113,0,0,0,0,0,0,0,0
3/25/2020,380,2430,1,10,32886,156086,380,2430,16,129,0,0,0,0,0,0,0,0
3/26/2020,379,2809,4,14,20419,176505,379,2809,22,151,0,0,0,0,0,0,0,0
3/27/2020,371,3180,0,14,16279,192784,371,3180,53,204,0,0,0,0,0,0,0,0
3/28/2020,460,3640,1,15,15251,208035,460,3640,19,223,0,0,0,0,0,0,0,0
3/29/2020,344,3984,2,17,15479,223514,344,3984,2,225,0,0,0,0,0,0,0,0
3/30/2020,266,4250,2,19,7654,231168,266,4250,66,291,0,0,0,0,0,0,0,0
3/31/2020,311,4561,1,20,11756,242924,311,4561,54,345,32,32,6,6,0,0,0,0
4/1/2020,303,4864,1,21,14029,256953,303,4864,73,418,368,400,70,76,33,33,0,0
4/2/2020,273,5137,4,25,9944,266897,273,5137,154,572,15,415,5,81,-1,32,0,0
4/3/2020,225,5362,4,29,8475,275372,225,5362,63,635,-5,410,5,86,0,32,0,0
4/4/2020,190,5552,2,31,9519,284891,190,5552,51,686,50,460,6,92,1,33,0,0
4/5/2020,141,5693,5,36,12253,297144,141,5693,102,788,0,460,4,96,0,33,0,0
4/6/2020,106,5799,5,41,5519,302663,106,5799,61,849,-2,458,0,96,2,35,0,0
4/7/2020,119,5918,8,49,8037,310700,119,5918,1700,2549,-153,305,-3,93,2,37,0,0
